"name","label"
"cmdb_ci_virtual_desktop","Virtual Desktop"
"sys_user_has_license","User Subscription"
"ua_user_ct_count","Custom tables per user"
"cmdb_ci_endpoint_ebs","EBS Inc Modules"
"content_block_programmatic","Dynamic Content"
"appsec_security_update","Appsec Security Update"
"request_parent_mapping","Request Parent Mapping"
"sys_grid_canvas_pane","Grid Canvas Pane"
"sc_cat_dt_app_group","Approving Groups"
"cmn_timeline_page","Timeline Page"
"sys_client_extension_instance","Client Extension Instance"
"sc_category_dept_no_mtom","Not Available for Departments"
"sc_item_produced_record","Item Produced Record"
"sc_mobile_layout","Classic Mobile Layout"
"sys_wizard_payload","Wizard Payload"
"sys_upgrade_metric","System Upgrade Metric"
"sys_upgrade_history_log","Upgrade Details"
"svc_referencefield_inclusion","Service Reference Field Inclusion List"
"ts_c_17_1","Text Index for sqanda_comment"
"sla_repair_log_message0007","SLA Repair Log Message"
"sys_db_view_table_field","View Field"
"sys_report_import_table_parent","Import Table Base"
"sla_repair_log_entry0001","SLA Repair Log Entry"
"v_field_editor","Edit Field"
"cmdb_ci_exchange_hub_transport_server","Exchange Hub Transport Server"
"ecc_agent_monitor","MID Server"
"oauth_entity_scope","Oauth Entity Scope"
"cmdb_ci_db_ora_catalog","Oracle Catalog"
"sys_archive_destroy_log","Archive Destroy Log"
"sys_notification_execution","Notification Execution"
"expert_panel_transition","Wizard Panel Transition"
"sc_cat_item_user_criteria_no_mtom","Catalog Item Not Available for"
"metric_definition","Metric Definition"
"chg_soc_style_rule_core","Style Rule Core"
"sys_sg_ui_parameter","UI parameter"
"sys_sg_time_span_item_stream","Time span item stream"
"sys_sg_action_screen","Action Screen"
"wf_ui_policy","Workflow UI Policy"
"ts_v4_21_8","Text Index for sc_cat_item"
"sc_ic_section","Section"
"wf_condition","Workflow Condition"
"wf_workflow_schedule","Workflow Schedule"
"cmdb_ci_lb","Load Balancer"
"sys_email_digest_user_pref","Email Digest User Preference"
"sys_user_role_lic_attr","Role Subscription Attribute"
"db_video","Video"
"sys_mutex_pattern","Slow Mutex"
"cmdb_ci_appl_hp_sm_kb","HP SM KnowledgeBase"
"windows_credentials","Windows Credentials"
"std_change_proposal_task","Change Task Template"
"sys_replication_queue7","Replicated Operation"
"sys_metadata","Application File"
"sys_documentation","Field Label"
"sys_scope_permission_set_role_assignment","Scope Permission Set Role Assignment"
"cmdb_ci_virtual_pvt_gateway","Virtual Private Gateway"
"ts_v4_14_doc","Document Meta for ts_v4_14_"
"licence_type","Agreement type"
"sys_group_has_role","Group Role"
"cmdb_health_scorecard","CMDB Health Scorecard"
"cmdb_ci_storage_node","Storage Node"
"cmdb_ci_ups_input","UPS Input"
"sys_app_version","Application Version"
"cmdb_ci_sa_dynamic_policy","Dynamic Scaling Policy"
"live_feed_search","Live Feed Searches"
"sys_sg_native_client","Native Client"
"sys_sg_item_section","Item Section"
"sys_canvas_preferences","Canvas preferences"
"sys_email_account_group","Email Account Group"
"sc_cat_dt_app_user","Approving Users"
"ts_c_22_0","Text Index for kb_social_qa_comment"
"cmn_schedule_span","Schedule Entry"
"cmdb_ci_appl_sap_server","SAP Application Server"
"clone_log0006","Clone Log"
"sys_push_feedback","Push Feedback"
"cmdb_ci_db_mssql_database","MS SQL DataBase"
"ip_address_range","IP Range"
"cmdb_ci_app_server_tomcat_war","Tomcat WAR"
"cmdb_ci_vm_user_credentials","VM User Credentials"
"svc_model_obj_cluster","Service Model Cluster"
"sys_upgrade_history","System Upgrades"
"ts_c_17_0","Text Index for sqanda_comment"
"cmdb_ci_vcenter_object","VMware vCenter Object"
"ip_access","IP Address Access Control"
"cmdb_ci_vcenter_cluster_drs_rule","VMWare vCenter Cluster DRS Rule"
"oidc_provider_configuration","Oidc Provider Configuration"
"jwt_keystore_aliases","JWT Keys"
"cmdb_reconciliation_definition","Reconciliation Definition"
"sys_archive_destroy_run","Archive Destroy Run"
"sys_notification_content","Notification Content"
"sys_data_source","Data Source"
"task","Task"
"ts_c_7_4","Text Index for sla"
"svc_ci_assoc","Service Configuration Item Association"
"sys_export_set_log0000","Export Log"
"cmdb_ci_win_cluster","Windows Cluster"
"sys_robust_import_set_transformer","Robust Import Set Transformer"
"sc_cat_item_group_mtom","Available for Groups"
"cxs_relevant_doc","Relevant Document"
"pa_active_jobs","Active PA jobs"
"license_has_app","Application"
"sys_index_suggestion","Index Suggestion"
"clm_m2m_contract_asset","Asset Covered"
"ast_license_software_instance","Software License Instance"
"cmdb_ci_qualifier_hidden_conn","Hidden Connection Qualifier"
"cmdb_ci_storage_pool","Storage Pool"
"sys_export_set_log0003","Export Log"
"sys_rollback_log0003","Rollback Log"
"sys_impex_transform","Transform Value"
"sys_ui_mobile_offline_result","Mobile Offline Result"
"discovery_status","Discovery Status"
"cmdb_ci_network_acl_rule","Network ACL Rule"
"sc_2_sc","Related Catalog Items"
"pa_m2m_thresholds_users","Threshold User"
"sys_ui_element","Section Element"
"sys_ui_view","UI View"
"cool_thing","Cool Thing"
"cmdb_ci_tower_light_tower_eq","Tower Lights"
"cmdb_business_rule_exclusions","Business Rule Exclusion List"
"cmdb_ci_network_adapter","Network Adapter"
"v_index_creator","Database Indexes"
"sys_customer_trend","Sys Customer Trend"
"sys_index","Indexes"
"cmdb_ci_endpoint_ajp","AJP Endpoint"
"ts_stop","Stop Word"
"ts_c_23_3","Text Index for sqanda_question"
"imp_location","Location"
"sys_rollback_schema_conflict","Schema Change Conflict"
"sys_ui_list_script_server","List Server Script"
"cmdb_ci_storage_fileshare","Storage File Share"
"ecc_agent_jar","MID Server JAR File"
"ecc_agent_attachment","MID Server Attachment"
"cmdb_ci_netware_server","Netware Server"
"cmdb_ci_san_zone_member","SAN Zone Member"
"cmdb_rel_attributes","CI Relation Attributes"
"kb_feedback_task","Knowledge Feedback Task"
"discovery_probes_wmi","WMI Probe"
"aws_credentials","Aws Credentials"
"sn_publications_recurrence","Recurrence"
"vtb_task","Private Task"
"statemgmt_register_users","CI State Registered Users"
"cmdb_ci_appl_vignette_search","Vignette Search Starter"
"ts_c_5_2","Text Index for cmn_location"
"duplicate_audit_result","Duplicate Audit Result"
"cmdb_ci_appl_tuxedo","Tuxedo"
"sys_sg_related_list_map","Related lists mapping"
"sa_notification0002","Discovered Service Notification"
"ts_v4_14_3","Text Index for sys_user"
"cmdb_ci_appl_rabbitmq","RabbitMQ"
"cmdb_ci_batch_job","Batch Job"
"wf_element_activity","Activity Designer"
"wf_activity","Workflow Activity"
"sys_gauge","Gauge"
"cmdb_ci_power_eq","Power Equipment"
"cmdb_ci_business_process","Business Process"
"sp_carousel_slide","Carousel Slide"
"sys_user_set_audit_log","User Set Audit Log"
"ua_user_role_ct","Entitled Custom Table"
"multi_factor_browser_fingerprint","Multi-factor Browser Fingerprint"
"cmdb_tcp_connection","TCP Connection (Deprecated)"
"sys_term_config_synchronization","Term Synchronization"
"http_retry_conditions","Http Retry Conditions"
"pa_units","Unit"
"sys_column_stats_registry","Column Statistics Registry"
"sys_suggestion_rule","Index Suggestion Rule"
"required_field_remediation","Required Field Remediation"
"clm_condition_checker","Condition"
"ts_c_19_0","Text Index for sys_user_group"
"clone_log0003","Clone Log"
"sys_sync_history","Push or Pull"
"cmdb_ci_sun_dir_proxy_server","Sun Directory Proxy Server"
"pwd_reset_request","Password Reset Request"
"cert_cond","Certification Condition"
"cmdb_ci_appl_weblogic_jms","Weblogic JMS Server"
"sc_cat_item_producer","Record Producer"
"svc_model_obj_impactrule","Service Model Impact Rule"
"ua_custom_metric_defn","Custom Metric Definition"
"ua_prod_inst","Related production instance"
"sla_repair_log_message0002","SLA Repair Log Message"
"sys_cluster_control","Cluster Control"
"cmdb_storage_accesspolicy_rule","Storage Access Policy Rule"
"sys_amb_message0000","AMB Message"
"cmdb_ci_agility_process","Agility Process"
"automation_pipeline_filter_regex","Pipeline Filter: Regex"
"automation_pipeline_transformer_javascript","Pipeline Transformer: Javascript"
"cmdb_ci_web_domino","Lotus Domino HTTP Server"
"sys_ui_overview_help_panel","Overview Help Panel"
"cmdb_ci_endpoint_sybase","Sybase Endpoint"
"ts_c_4_3","Text Index for appsec_domain_listing"
"ts_c_10_8","Text Index for kb_social_qa_answer"
"incident_fact_table","Incident Fact Table"
"cmdb_ire_incomplete_payloads0000","CMDB IRE Incomplete Payloads"
"ts_c_15_2","Text Index for sqanda_answer"
"sys_report_layer","Report Layer"
"sc_ic_task_defn_staging","Task"
"sp_metatag","Meta Tag"
"cmdb_ci_datacenter","Data Center"
"pa_target_color_schemes","Target color scheme"
"ts_v4_13_4","Text Index for kb_social_qa_question"
"sys_sg_icon","Icon"
"sys_rte_eb_regex_replace_operation","Robust Transform Engine Entity Regular Expression Replace Operation"
"ts_c_16_3","Text Index for sys_metadata"
